
organism_name
Fragilariopsis kerguelensis
Babesia ovata
Acanthamoeba mauritaniensis
Carpediemonas membranifera
Acanthamoeba divionensis
Plasmodium coatneyi
Plasmodium coatneyi
Asterionella formosa
Acanthamoeba quina
Phytophthora pseudosyringae
Phytophthora pseudosyringae
Streblomastix strix
Bigelowiella natans
Peronospora tabacina
Symbiodinium sp. KB8
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Cryptosporidium hominis
Phytophthora vignae f. sp. adzukicola
Cavenderia fasciculata
Chaetoceros muellerii
Pseudocohnilembus persalinus
Hyaloperonospora arabidopsidis
Hyaloperonospora arabidopsidis
Emiliania huxleyi CCMP1516
Plasmodium yoelii killicki
Plasmodium yoelii killicki
Crithidia bombi
Crithidia bombi
Crithidia bombi
Entamoeba histolytica HM-1:IMSS
Entamoeba histolytica HM-1:IMSS
Thalassiosira pseudonana CCMP1335
Licmophora abbreviata
Phytophthora x alni
Tribonema minus
Nitzschia palea
Nitzschia inconspicua
Dictyostelium rosarium
Cladosiphon okamuranus
Cryptosporidium bovis
Cryptosporidium bovis
Pseudokeronopsis flava
Tetrahymena thermophila SB210
Tetrahymena thermophila SB210
Phytophthora kernoviae
Phytophthora kernoviae
Phytophthora kernoviae
Phytophthora kernoviae
Phytophthora kernoviae
Phytophthora kernoviae
Phytophthora kernoviae
Phytophthora kernoviae
Phytophthora kernoviae
Perkinsus chesapeaki
Certesia quadrinucleata
Theileria parva strain Muguga
Leishmania major strain Friedlin
Leishmania major strain Friedlin
Leishmania major strain Friedlin
Leishmania major strain Friedlin
Spironucleus salmonicida
Dictyostelium discoideum AX4
Cryptosporidium hominis TU502
Cryptosporidium parvum Iowa II
Strombidium stylifer
Halocafeteria seosinensis
Dictyostelium brefeldianum
Dictyostelium capitatum
Dictyostelium citrinum
Dictyostelium intermedium
Tieghemostelium lacteum
Synstelium polycarpum
Speleostelium caveatum
Cavenderia deminutiva
Rostrostelium ellipticum
Trypanosoma cruzi strain Esmeraldo
Entamoeba dispar SAW760
Entamoeba invadens IP1
Toxoplasma gondii RH
Pseudokeronopsis carnea
Phytophthora infestans T30-4
Trichomonas vaginalis G3
Leishmania braziliensis MHOM/BR/75/M2904
Leishmania braziliensis MHOM/BR/75/M2904
Perkinsus marinus ATCC 50983
Chaetoceros tenuissimus
Trypanosoma rangeli SC58
Pythium guiyangense
Blastocystis sp. subtype 8
Globisporangium ultimum DAOM BR144
Toxoplasma gondii VEG
Leishmania infantum JPCM5
Uronychia binucleata
Uronychia setigera
Cryptosporidium muris RN66
Dinobryon divergens
Thecamonas trahens ATCC 50062
Babesia sp. Xinjiang
Hemiselmis andersenii
Protostelium mycophagum
Cardiosporidium cionae
Blastocystis sp. ATCC 50177/Nand II
Plasmodium falciparum Santa Lucia
Plasmodium falciparum D6
Plasmodium falciparum D10
Plasmodium falciparum FCC-2/Hainan
Plasmodium falciparum Senegal_V34.04
Plasmodium falciparum VS/1
Cystoisospora suis
Babesia bovis T2Bo
Chromera velia
Andalucia godoyi
Toxoplasma gondii GT1
Phytophthora ohioensis (nom. inval.)
Toxoplasma gondii ME49
Cryptosporidium ryanae
Psammoneis japonica
Poterioochromonas sp. DS
Phytophthora pinifolia
Peronospora effusa
Peronospora effusa
Peronospora effusa
Peronospora effusa
Peronospora effusa
Peronospora effusa
Peronospora effusa
Phaeodactylum tricornutum CCAP 1055/1
Hyaloperonospora arabidopsidis Emoy2
Schizochytrium sp. TIO01
Cryptosporidium cuniculus
Neospora caninum Liverpool
Plasmodium falciparum RAJ116
Plasmodium falciparum IGH-CR14
Phytophthora multivora
Phytophthora multivora
Giardia intestinalis ATCC 50581
Phytophthora palmivora var. palmivora
Phytophthora cinnamomi var. cinnamomi
Peronospora belbahrii
Peronospora belbahrii
Trypanosoma brucei equiperdum
Symbiodinium sp. CCMP2592
Fragilariopsis cylindrus CCMP1102
Fragilariopsis cylindrus CCMP1102
Phytophthora plurivora
Lotharella oceanica
Plasmodium gaboni
Plasmodium gaboni
Albugo laibachii
Giardia lamblia P15
Heterostelium album PN500
Thraustochytrium sp. ATCC 26185
Trypanosoma brucei gambiense DAL972
Uroleptopsis citrina
Saprolegnia parasitica CBS 223.65
Spumella sp. AR4D6
Haemoproteus tartakovskyi
Trypanosoma melophagium
Plasmodium sp. DRC-Itaito
Plasmodium sp. DRC-Itaito
Bigelowiella natans CCMP2755
Stylonychia lemnae 2x8/2
Cryptosporidium tyzzeri
Phytophthora parasitica INRA-310
Phytophthora capsici LT1534
Crithidia expoeki
Crithidia mellificae
Crithidia mellificae
Kipferlia bialata
Cryptosporidium ubiquitum
Cryptosporidium ubiquitum
Cryptosporidium ubiquitum
Cryptosporidium ubiquitum
Cryptosporidium ubiquitum
Leishmania major strain LV39c5
Leishmania major strain SD 75.1
Plasmodium ovale curtisi
Plasmodium ovale curtisi
Plasmodium ovale wallikeri
Plasmodium ovale wallikeri
Ectocarpus sp. CCAP 1310/34
Ectocarpus sp. CCAP 1310/34
Theileria orientalis strain Shintoku
Symbiodinium natans
Plasmodium sp. gorilla clade G1
Plasmodium sp. gorilla clade G2
Plasmodium sp. gorilla clade G3
Dictyostelium gargantuum
Entamoeba histolytica DS4-868
Entamoeba histolytica KU27
Entamoeba histolytica KU48
Entamoeba histolytica KU50
Entamoeba histolytica MS96-3382
Entamoeba histolytica HM-3:IMSS
Entamoeba histolytica HM-1:IMSS-A
Entamoeba histolytica HM-1:IMSS-B
Guillardia theta CCMP2712
Phytopythium vexans
Phytopythium vexans
Albugo candida 2VRR
Fistulifera pelliculosa
Trypanosoma cruzi JR cl. 4
Leishmania mexicana MHOM/GT/2001/U1103
Phytophthora constricta
Toxoplasma gondii VAND
Toxoplasma gondii RUB
Giardia intestinalis assemblage A
Toxoplasma gondii MAS
Toxoplasma gondii p89
Toxoplasma gondii TgCATBr9
Toxoplasma gondii TgCATBr5
Toxoplasma gondii CAST
Toxoplasma gondii FOU
Blastocystis sp. subtype 2
Blastocystis sp. subtype 3
Blastocystis sp. subtype 4
Blastocystis sp. subtype 4
Blastocystis sp. subtype 6
Angomonas ambiguus
Strigomonas galati
Nannochloropsis oceanica CCMP531
Nannochloropsis oceanica OZ-1
Nannochloropsis salina CCMP1776
Nannochloropsis salina CCMP1776
Nannochloropsis salina CCMP537
Plasmodium vivax Brazil I
Plasmodium vivax North Korean
Plasmodium vivax Mauritania I
Plasmodium falciparum Vietnam Oak-Knoll (FVO)
Plasmodium falciparum FCH/4
Plasmodium falciparum Tanzania (2000708)
Plasmodium falciparum NF135/5.C10
Plasmodium falciparum MaliPS096_E11
Heterostelium multicystogenum
Trypanosoma vivax Y486
Trypanosoma congolense IL3000
Trypanosoma congolense IL3000
Toxoplasma gondii ARI
Toxoplasma gondii COUG
Tetrahymena malaccensis 436
Tetrahymena elliotti 4EA
Entamoeba nuttalli P19
Plasmodium vivax India VII
Nannochloropsis gaditana CCMP526
Poteriospumella lacustris
Poteriospumella lacustris
Poteriospumella lacustris
Pedospumella encystans
Pedospumella encystans
Spumella vulgaris
Plasmodium cynomolgi strain B
Toxoplasma gondii GAB2-2007-GAL-DOM2
