217634;Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Anoplophora;Anoplophora glabripennis
218467;Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides sculpturatus
219809;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Pseudomyrmex;Pseudomyrmex gracilis
222816;Eukaryota;Arthropoda;Insecta;Hymenoptera;Orussidae;Orussus;Orussus abietinus
224129;Eukaryota;Arthropoda;Insecta;Coleoptera;Buprestidae;Agrilus;Agrilus planipennis
225164;Eukaryota;Mollusca;Gastropoda;;Lottiidae;Lottia;Lottia gigantea
265458;Eukaryota;Arthropoda;Insecta;Diptera;Cecidomyiidae;Contarinia;Contarinia nasturtii
13037;Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Danaus;Danaus plexippus
286706;Eukaryota;Arthropoda;Insecta;Hemiptera;Pentatomidae;Halyomorpha;Halyomorpha halys
294128;Eukaryota;Arthropoda;Malacostraca;Amphipoda;Hyalellidae;Hyalella;Hyalella azteca
300111;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Temnothorax;Temnothorax curvispinosus
307658;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Monomorium;Monomorium pharaonis
142686;Eukaryota;Arthropoda;Insecta;Hymenoptera;Agaonidae;Ceratosolen;Ceratosolen solmsi
334116;Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Vanessa;Vanessa tameamea
343691;Eukaryota;Arthropoda;Insecta;Diptera;Stratiomyidae;Hermetia;Hermetia illucens
396416;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Bombus;Bombus pyrosoma
400682;Eukaryota;Porifera;Demospongiae;Haplosclerida;Niphatidae;Amphimedon;Amphimedon queenslandica
400727;Eukaryota;Mollusca;Gastropoda;Architaenioglossa;Ampullariidae;Pomacea;Pomacea canaliculata
411798;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Vollenhovia;Vollenhovia emeryi
81824;Eukaryota;;Choanoflagellata;Craspedida;Salpingoecidae;Monosiga;Monosiga brevicollis
441921;Eukaryota;Arthropoda;Insecta;Hymenoptera;Diprionidae;Neodiprion;Neodiprion lecontei
441929;Eukaryota;Arthropoda;Insecta;Hymenoptera;Diprionidae;Neodiprion;Neodiprion pinetum
454923;Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Diachasma;Diachasma alloeum
456900;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Cyphomyrmex;Cyphomyrmex costatus
460826;Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Chelonus;Chelonus insularis
471704;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Trachymyrmex;Trachymyrmex cornetzi
473952;Eukaryota;Arthropoda;Insecta;Hymenoptera;Megachilidae;Osmia;Osmia lignaria
486640;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Odontomachus;Odontomachus brunneus
516756;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Eufriesea;Eufriesea mexicana
520822;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Atta;Atta colombica
543639;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Dermacentor;Dermacentor silvarum
561572;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Frieseomelitta;Frieseomelitta varia
192875;Eukaryota;;Filasterea;;;Capsaspora;Capsaspora owczarzaki
597456;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Habropoda;Habropoda laboriosa
609295;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Dinoponera;Dinoponera quadriceps
610380;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Harpegnathos;Harpegnathos saltator
613905;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Nylanderia;Nylanderia fulva
72019;Eukaryota;;Ichthyosporea;Ichthyophonida;;Sphaeroforma;Sphaeroforma arctica
680683;Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Amyelois;Amyelois transitella
684658;Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Aphidius;Aphidius gifuensis
691883;Eukaryota;;;Rotosphaerida;Fonticulaceae;Fonticula;Fonticula alba
742174;Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Melanaphis;Melanaphis sacchari
743375;Eukaryota;Arthropoda;Insecta;Hymenoptera;Vespidae;Polistes;Polistes dominula
935657;Eukaryota;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletes;Colletes gigas
946362;Eukaryota;;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca rosetta
1041015;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila rhopaloa
1159321;Eukaryota;Arthropoda;Insecta;Hymenoptera;Cynipidae;Belonocnema;Belonocnema treatae
1232801;Eukaryota;Arthropoda;Thecostraca;Balanomorpha;Balanidae;Amphibalanus;Amphibalanus amphitrite
